Ticker,Last,Relative Strength Index (14),Exponential Moving Average (100),Exponential Moving Average (200),Exchange,Traded Volume
OMGBTC,0.0004709,77.72633365,0.00017402,0.00015173,BINANCE,152842.59176437
OMGBTC,0.00047378,78.86578624,0.00017388,0.00015164,KUCOIN,152842.59176437
OMGBTC,0.00047412,78.46822879,0.00017393,0.00015165,POLONIEX,152842.59176437
OMGBTC,0.00047416,78.38974512,0.00017407,0.00015191,HITBTC,152842.59176437
OMGBTC,0.00047494,78.84880473,0.00017392,0.00015165,BITTREX,152842.59176437
OMGBTC,0.00047227,78.36742534,0.00017397,0.00015171,BITFINEX,152842.59176437
OMNBTC,0.00072,92.93270823,0.00021567,0.00025374,BITFINEX,4.98133418
ONEBTC,8.9e-7,48.59438237,8.3e-7,7.8e-7,HUOBI,770.98342228
ONEBTC,8.9e-7,49.45105159,6.8e-7,6.4e-7,BINANCE,770.98342228
ONEBTC,8.9e-7,49.31643583,6.8e-7,6.2e-7,HITBTC,770.98342228
ONEBTC,8.9e-7,49.1527594,6.8e-7,6.1e-7,KUCOIN,770.98342228
ONGBTC,0.00001675,52.10286069,0.00001657,0.00001731,BITTREX,5.87297117
ONGBTC,0.00001673,51.04919372,0.0000166,0.00001749,BINANCE,5.87297117
ONLBTC,0.00000136,54.65293442,0.00000148,0.00000176,BITFINEX,0.0639143
ONTBTC,0.00007742,63.48878854,0.00006698,0.00006976,HUOBI,23820.94417435
ONTBTC,0.0000775,61.03112795,0.00006681,0.00006975,BINANCE,23820.94417435
ONTBTC,0.00007819,61.45805452,0.00006682,0.0000704,BITTREX,23820.94417435
ONTBTC,0.00007746,60.97873934,0.00006667,0.00006978,HITBTC,23820.94417435
ONTBTC,0.00007745,60.94752527,0.00006681,0.00006983,KUCOIN,23820.94417435
OPENBTC,1.1e-7,45.62825196,1e-7,1.5e-7,KUCOIN,0.09429136
OPQBTC,7.4e-7,40.68252987,8.9e-7,0.0000011,KUCOIN,0.19789304
OPTBTC,1.5e-7,43.24190674,1.6e-7,1.7e-7,HITBTC,0.13181246
ORBSBTC,0.00000151,46.80563824,0.00000155,0.00000154,BITTREX,43.84066233
ORMEUSBTC,0.00000258,60.73172376,0.00000191,0.0000022,HITBTC,45.33267816
ORSBTC,9.6e-7,35.14529419,0.00000181,0.00000227,BITFINEX,89.84350522
OSTBTC,9.5e-7,46.34550223,0.00000101,0.00000113,BITTREX,44.06255772
OSTBTC,9.4e-7,44.47220356,0.000001,0.0000011,BINANCE,44.06255772
OSTBTC,9.5e-7,45.80568139,0.000001,0.0000011,HUOBI,44.06255772
OXTBTC,0.00004329,65.97399455,0.00002299,,GEMINI,3836.17801847
OXTBTC,0.00004374,65.86329598,0.00002305,,BITTREX,3836.17801847
PAIBTC,0.00000162,46.90514347,0.00000173,0.00000199,HUOBI,41.81168157
